,c1_c0,c0_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[111.49940497   1.8116893 ],[118.49940495   1.81227389],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[111.49638367   1.81168771],[118.49638367   1.81227231],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.99880983879862,[111.48191071   1.81168675],[118.48191071   1.81227136],[104.48191071   1.81110215],[97.48310089  1.81051838]
3,6.999969506793725,7.000000024411422,6.996284509049302,[111.44979095   1.81168568],[118.44976044   1.81226981],[104.44979095   1.81110108],[97.45350647  1.81051934]
4,7.0001373529182604,7.000000024411422,6.993080163436802,[111.39642334   1.81169105],[118.39656067   1.8122685 ],[104.39642334   1.81110644],[97.4033432   1.81052375]
5,6.999931358390134,7.000000024411422,6.99013521721757,[111.32209015   1.81170022],[118.32202148   1.81226695],[104.32209015   1.81111562],[97.33195496  1.81053221]
6,6.999938986811225,7.000000024411422,6.986946130373954,[111.22576141   1.81171143],[118.22570038   1.81226599],[104.22576141   1.81112683],[97.23881531  1.8105427 ]
7,6.999954244463099,7.000000024411422,6.983764672905374,[111.10736847   1.81172407],[118.10732269   1.81226408],[104.10736847   1.81113946],[97.12360382  1.81055486]
8,6.999961872553834,7.000000024411422,6.980545068514888,[110.9667511    1.81173813],[117.96671295   1.81226099],[103.9667511    1.81115353],[96.98620605  1.81056786]
9,6.999969500524405,7.000000024411422,6.9772796876668846,[110.80358124   1.81175232],[117.80355072   1.81225574],[103.80358124   1.81116772],[96.82630157  1.81058204]
10,6.999977128416292,7.000000024411422,6.973968530502444,[110.61756897   1.81176603],[117.61754608   1.81224811],[103.61756897   1.81118143],[96.64360046  1.81059515]
11,6.999992385642944,7.000000024411422,6.970634485133821,[110.40841675   1.81177819],[117.40840912   1.81223702],[103.40841675   1.81119359],[96.43778229  1.81060696]
12,7.000000013449153,7.000000024411422,6.967262292813266,[110.17584991   1.8117882 ],[117.17584991   1.81222212],[103.17584991   1.8112036 ],[96.20858765  1.81061637]
13,7.0000000118586785,7.000000024411422,6.9638519535001535,[109.91960144   1.81179464],[116.91960144   1.8122021 ],[102.91960144   1.81121004],[95.95574951  1.81062245]
14,7.00000001033584,7.000000024411422,6.960388208405154,[109.63938904   1.81179619],[116.63938904   1.81217659],[102.63938904   1.81121159],[95.67900085  1.81062388]
15,7.000000008893559,7.000000024411422,6.956886316327244,[109.33495331   1.81179178],[116.33495331   1.81214464],[102.33495331   1.81120718],[95.37806702  1.81061947]
16,7.000007636959146,7.000000024411422,6.9533615360671295,[109.00605774   1.8117801 ],[116.00606537   1.81210554],[102.00605774   1.81119549],[95.05269623  1.81060779]
17,7.0000076357594425,7.000000024411422,6.949806238177652,[108.65245819   1.81175959],[115.65246582   1.81205809],[101.65245819   1.81117499],[94.70265198  1.81058788]
