,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[97.49940502  1.81052012],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[104.499405     1.81110471]
1,7.000000024411422,7.000000024411422,6.999923730436333,[97.49645996  1.81051886],[118.49638367   1.81227231],[111.49638367   1.81168771],[104.49638367   1.81110311]
2,7.000000024411422,7.000000024411422,6.998786950645044,[97.48323822  1.81051791],[118.48202515   1.81227124],[111.48202515   1.81168664],[104.48202515   1.81110203]
3,7.000000024411422,7.000000024411422,6.996833825881582,[97.45288849  1.81051528],[118.44972229   1.81227136],[111.44972229   1.81168675],[104.44972229   1.81110215]
4,7.000000024411422,7.000000024411422,6.994789147984638,[97.40182495  1.81051469],[118.39661407   1.81226873],[111.39661407   1.81168413],[104.39661407   1.81109953]
5,7.000000024411422,7.000000024411422,6.992904687273974,[97.32926941  1.81051576],[118.32217407   1.81226659],[111.32217407   1.81168199],[104.32217407   1.81109738]
6,7.000000024411422,7.000000024411422,6.990676903722251,[97.23508453  1.81051683],[118.22576141   1.81226337],[111.22576141   1.81167877],[104.22576141   1.81109416]
7,7.000000024411422,7.000000024411422,6.988426231921946,[97.11885071  1.81051707],[118.10727692   1.81225848],[111.10727692   1.81167388],[104.10727692   1.81108928]
8,7.000000024411422,7.000000024411422,6.986183189422425,[96.98040009  1.8105166 ],[117.96658325   1.81225169],[110.96658325   1.81166708],[103.96658325   1.81108248]
9,7.000000024411422,7.000000024411422,6.983901999907901,[96.81942749  1.81051445],[117.80332947   1.81224263],[110.80332947   1.81165802],[103.80332947   1.81107342]
10,7.000000024411422,7.000000024411422,6.98157503396808,[96.63563538  1.81051016],[117.61721039   1.81223059],[110.61721039   1.81164598],[103.61721039   1.81106138]
11,7.000000024411422,7.000000024411422,6.979232809172503,[96.42873383  1.81050301],[117.40796661   1.81221473],[110.40796661   1.81163013],[103.40796661   1.81104553]
12,7.000000024411422,7.000000024411422,6.976852437395493,[96.19843292  1.81049192],[117.17528534   1.81219471],[110.17528534   1.8116101 ],[103.17528534   1.8110255 ]
13,7.000000024411422,7.000000024411422,6.9744415479902395,[95.94447327  1.81047654],[116.91891479   1.81216955],[109.91891479   1.81158495],[102.91891479   1.81100035]
14,7.000000024411422,7.000000024411422,6.9720230291769605,[95.66657257  1.81045568],[116.63859558   1.81213856],[109.63859558   1.81155396],[102.63859558   1.81096935]
15,7.000000024411422,7.000000024411422,6.9695663633786555,[95.36449432  1.8104285 ],[116.33406067   1.81210089],[109.33406067   1.81151628],[102.33406067   1.81093168]
16,7.000000024411422,7.000000024411422,6.967094438799423,[95.03795624  1.81039417],[116.00505066   1.81205595],[109.00505066   1.81147134],[102.00505066   1.81088674]
