,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992057822645345,[104.32235718   1.81110191],[118.32235718   1.81227112],[111.32235718   1.81168652],[97.33029938  1.81054282]
6,7.000000024411422,7.000000024411422,6.989700337886312,[104.22619629   1.81109607],[118.22619629   1.81226528],[111.22619629   1.81168067],[97.23649597  1.8105607 ]
7,7.000000024411422,7.000000024411422,6.98735048221775,[104.10799408   1.81108809],[118.10799408   1.81225729],[111.10799408   1.81167269],[97.12064362  1.81058168]
8,7.000000024411422,7.000000024411422,6.98496247937115,[103.96755981   1.81107771],[117.96755981   1.81224692],[110.96755981   1.81166232],[96.98259735  1.81060505]
9,7.000000024411422,7.000000024411422,6.982543958825322,[103.80458069   1.8110646 ],[117.80458069   1.81223381],[110.80458069   1.8116492 ],[96.82203674  1.8106302 ]
10,7.000000024411422,7.000000024411422,6.9801025500537675,[103.61875916   1.81104803],[117.61875916   1.81221724],[110.61875916   1.81163263],[96.63865662  1.81065631]
11,7.000000024411422,7.000000024411422,6.977638253152032,[103.4098053    1.81102729],[117.4098053    1.81219649],[110.4098053    1.81161189],[96.43216705  1.81068242]
12,7.000000024411422,7.000000024411422,6.975135809467492,[103.17742157   1.81100202],[117.17742157   1.81217122],[110.17742157   1.81158662],[96.20228577  1.81070685]
13,7.000000024411422,7.000000024411422,6.972602848445577,[102.92134857   1.81097102],[116.92134857   1.81214023],[109.92134857   1.81155562],[95.94874573  1.81072879]
14,7.000000024411422,7.000000024411422,6.970031740806511,[102.64131927   1.81093419],[116.64131927   1.81210339],[109.64131927   1.81151879],[95.67128754  1.81074655]
15,7.000000024411422,7.000000024411422,6.967430115996127,[102.33708191   1.81089079],[116.33708191   1.81206   ],[109.33708191   1.8114754 ],[95.36965179  1.81075883]
16,7.000000024411422,7.000000024411422,6.9648132328368675,[102.00837708   1.81083989],[116.00837708   1.8120091 ],[109.00837708   1.81142449],[95.04356384  1.81076384]
17,7.000000024411422,7.000000024411422,6.962173461945559,[101.65496826   1.810781  ],[115.65496826   1.81195021],[108.65496826   1.8113656 ],[94.6927948   1.81076014]
18,7.000000024411422,7.000000024411422,6.959510803295383,[101.27662659   1.81071365],[115.27662659   1.81188285],[108.27662659   1.81129825],[94.31711578  1.81074548]
19,7.000000024411422,7.000000024411422,6.956832886215556,[100.87310791   1.81063735],[114.87310791   1.81180656],[107.87310791   1.81122196],[93.91627502  1.81071854]
20,7.000000024411422,7.000000024411422,6.954124451820437,[100.44419861   1.81055212],[114.44419861   1.81172132],[107.44419861   1.81113672],[93.49007416  1.81067789]
21,7.000000024411422,7.000000024411621,6.951385499996327,[99.98968506  1.81045771],[113.98968506   1.81162691],[106.98968506   1.81104231],[93.03829956  1.81062233]
22,7.000000024411422,7.00000002441192,6.9486389187793165,[99.50939941  1.81035459],[113.50939941   1.8115238 ],[106.50939941   1.81093919],[92.5607605   1.81055057]
23,7.000000024411422,7.000000024411223,6.945945743168143,[99.0030899   1.81024361],[113.0030899    1.81141281],[106.0030899    1.81082821],[92.05714417  1.81046164]
