,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992057822645345,[104.32235718   1.81110191],[118.32235718   1.81227112],[111.32235718   1.81168652],[97.33029938  1.81054282]
6,7.000000024411422,7.000000024411422,6.9897155966747615,[104.22621918   1.81109607],[118.22621918   1.81226528],[111.22621918   1.81168067],[97.2365036  1.8105607]
7,7.000000024411422,7.000000024411422,6.987358111611721,[104.10801697   1.81108809],[118.10801697   1.81225729],[111.10801697   1.81167269],[97.12065887  1.81058168]
8,7.000000024411422,7.000000024411422,6.984977738160022,[103.96759033   1.81107771],[117.96759033   1.81224692],[110.96759033   1.81166232],[96.98261261  1.81060505]
9,7.000000024411422,7.000000024411422,6.982559217614297,[103.80461121   1.8110646 ],[117.80461121   1.81223381],[110.80461121   1.8116492 ],[96.822052   1.8106302]
10,7.000000024411422,7.000000024411422,6.980117808843645,[103.61878967   1.81104803],[117.61878967   1.81221724],[110.61878967   1.81163263],[96.63867188  1.81065631]
11,7.000000024411422,7.000000024411422,6.977645882546511,[103.40982056   1.81102729],[117.40982056   1.81219649],[110.40982056   1.81161189],[96.43217468  1.81068242]
12,7.000000024411422,7.000000024411422,6.975135809468004,[103.1774292    1.81100202],[117.1774292    1.81217122],[110.1774292    1.81158662],[96.2022934   1.81070685]
13,7.000000024411422,7.000000024411422,6.972602848446089,[102.9213562    1.81097102],[116.9213562    1.81214023],[109.9213562    1.81155562],[95.94875336  1.81072879]
14,7.000000024411422,7.000000024411422,6.9700393701983,[102.6413269    1.81093419],[116.6413269    1.81210339],[109.6413269    1.81151879],[95.67128754  1.81074667]
15,7.00000002442138,7.0000000244014675,6.967445374782461,[102.33707428   1.81089079],[116.33707428   1.81206   ],[109.33707428   1.81147528],[95.36962891  1.81075895]
16,7.00000002442138,7.0000000244014675,6.964828491625957,[102.00836182   1.81084001],[116.00836182   1.81200922],[109.00836182   1.81142449],[95.04353333  1.81076396]
17,7.000000024411422,7.000000024411422,6.962188720734252,[101.65494537   1.810781  ],[115.65494537   1.81195021],[108.65494537   1.8113656 ],[94.69275665  1.81076014]
18,7.0000000244014675,7.00000002442138,6.959526062085668,[101.27659607   1.81071365],[115.27659607   1.81188285],[108.27659607   1.81129837],[94.31707001  1.81074572]
19,7.0000000244014675,7.00000002442138,6.956840515614951,[100.87306976   1.81063735],[114.87306976   1.81180656],[107.87306976   1.81122208],[93.91622925  1.81071889]
20,7.0000000244014675,7.00000002442138,6.954132081219852,[100.44416046   1.81055224],[114.44416046   1.81172144],[107.44416046   1.81113696],[93.49002838  1.81067824]
21,7.0000000244014675,7.00000002442128,6.951408388182738,[99.98964691  1.81045794],[113.98964691   1.81162715],[106.98964691   1.81104267],[93.03823853  1.81062269]
22,7.0000000244014675,7.000000024421067,6.948646548180658,[99.50933838  1.81035471],[113.50933838   1.81152391],[106.50933838   1.81093943],[92.56069183  1.81055093]
23,7.0000000244014675,7.000000024421877,6.945968631362975,[99.00305176  1.81024373],[113.00305176   1.81141293],[106.00305176   1.81082845],[92.05708313  1.81046212]
